first image index,second image index,overlapping rate,level of distance
249,255,0.624895,6
109,256,0.837251,147
115,256,0.661985,141
120,256,0.938687,136
125,256,0.612069,131
127,256,0.875072,129
177,256,0.512164,79
108,257,0.950489,149
176,257,0.510068,81
239,257,0.971446,18
245,257,0.549110,12
250,257,0.847079,7
255,257,0.579038,2
128,259,0.813496,131
113,260,0.738079,147
118,260,0.996075,142
123,260,0.591388,137
244,260,0.647535,16
249,260,0.920698,11
254,260,0.676267,6
114,261,0.875343,147
120,261,0.663324,141
125,261,0.920224,136
130,261,0.559996,131
132,261,0.814169,129
113,262,0.932123,149
181,262,0.634369,81
244,262,0.934812,18
250,262,0.557034,12
255,262,0.870663,7
260,262,0.611784,2
133,264,0.782662,131
118,265,0.704098,147
123,265,0.979885,142
128,265,0.561903,137
249,265,0.646610,16
254,265,0.935791,11
259,265,0.708478,6
119,266,0.871727,147
125,266,0.615058,141
130,266,0.892510,136
135,266,0.528097,131
137,266,0.727066,129
118,267,0.907366,149
186,267,0.592446,81
249,267,0.898531,18
255,267,0.520481,12
260,267,0.867972,7
265,267,0.636318,2
138,269,0.796461,131
123,270,0.677647,147
128,270,0.960305,142
133,270,0.566169,137
254,270,0.629059,16
259,270,0.951594,11
264,270,0.736817,6
124,271,0.889403,147
130,271,0.670045,141
135,271,0.939510,136
137,271,0.512435,134
140,271,0.512578,131
123,272,0.924655,149
191,272,0.509245,81
254,272,0.943374,18
259,272,0.504415,13
260,272,0.524856,12
265,272,0.876806,7
270,272,0.622099,2
202,274,0.547872,72
210,274,0.587263,64
128,275,0.722467,147
133,275,0.983202,142
138,275,0.584187,137
192,275,0.542649,83
259,275,0.601016,16
264,275,0.934427,11
269,275,0.646613,6
129,276,0.836383,147
135,276,0.637765,141
140,276,0.905262,136
128,277,0.928753,149
259,277,0.959058,18
265,277,0.532029,12
270,277,0.882701,7
275,277,0.592654,2
